Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Latitude,Longitude,Substance,Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture,Incident type,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Emergency Level,Equipment or component involved,Repair type,Repair date,Equipment or component has never been inspected,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type
Release of Substance,11/22/2010,Kendal,Saskatchewan,TransCanada PipeLines Limited,50.33177,-103.60955,Natural Gas - Sweet,Gas,No,2010,,2010/11/20 10:14:00 AM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),10/10/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,No,No,Yes,No,Level I,"Pipeline, Valve, Pressure relief, Diaphragm",,11/20/2010,No,,No,No,11/20/2010,
Operation Beyond Design Limits,11/24/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,53.54769,-113.35921,Not Applicable,Not Applicable,No,2010,2010/11/24 07:56:00 PM Mountain,2010/11/24 07:56:00 PM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate or improper controls",Engineering and Planning,Operation,Employee / Contractor (Onsite),3/30/2015,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,11/27/2010,Piapot,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,49.98,-109.12,Natural Gas - Sweet,Gas,No,2010,2010/11/26 05:44:00 PM Mountain,2010/11/26 05:44:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),1/2/2013,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Valve",,11/26/2010,No,,No,No,11/26/2010,
Release of Substance,11/30/2010,Shaunavon,Saskatchewan,Foothills Pipe Lines Ltd.,49.55266,-108.3695,Natural Gas - Sweet,Gas,No,2010,2010/11/29 09:15:00 AM Mountain,2010/11/29 09:15:00 AM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Excessive wear and tear, Inadequate maintenance",Maintenance,Operation,Employee / Contractor (Onsite),6/18/2013,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Valve",,,No,,No,No,,
Release of Substance,12/1/2010,Hanna,Alberta,NOVA Gas Transmission Ltd.,51.93893056,-112.0749444,Natural Gas - Sweet,Gas,No,2010,2010/11/30 07:30:00 PM Mountain,2010/11/30 06:00:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing;Damage or deterioration mechanism, Construction, Defective Other Joint","Defect and Deterioration, Equipment Failure","Job or system factors, Excessive wear and tear, Improper loading or rate of use;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),9/5/2014,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Valve, Pressure relief, Other (please explain)",,,No,,No,No,,
Release of Substance,12/1/2010,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,45.886624,-66.551134,Natural Gas - Sweet,Gas,No,2010,2010/12/01 08:30:00 PM Atlantic,2010/12/01 12:00:00 AM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),11/6/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0.5,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Metering, Delivering, Valve",,,No,,No,No,,
Release of Substance,12/3/2010,Cabri,Saskatchewan,TransCanada PipeLines Limited,50.605125,-108.7085556,Natural Gas - Sweet,Gas,No,2010,2010/12/03 11:00:00 AM Mountain,2010/12/03 12:00:00 AM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Valve",,,No,,No,No,,
Operation Beyond Design Limits,12/3/2010,Hardisty,Alberta,Enbridge Pipelines Inc.,52.63944722,-111.2781389,Not Applicable,Not Applicable,No,2010,2010/11/25 01:30:00 AM Mountain,2010/11/25 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria",Engineering and Planning,Operation,Employee / Contractor (Onsite),6/18/2013,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Level I,"Pipeline, Pipe, Body",,,No,,No,No,,
Release of Substance,12/6/2010,Sundridge,Ontario,TransCanada PipeLines Limited,45.71830278,-79.4368138,Natural Gas - Sweet,Gas,No,2010,2010/12/06 04:00:00 AM Eastern,2010/12/06 04:00:00 AM Eastern,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),10/10/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Auxiliary device(s) (please explain)",Rebuilt,12/6/2010,No,,No,No,12/6/2010,Repair
Operation Beyond Design Limits,12/8/2010,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",59.20186,-121.596498,Not Applicable,Not Applicable,No,2010,2010/12/05 12:00:00 AM Mountain,2010/12/05 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria",Engineering and Planning,Operation,Employee / Contractor (Onsite),6/18/2013,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Level I,"Pipeline, Pipe, Body",,,No,,No,No,,
Release of Substance,12/10/2010,Regina,Saskatchewan,TransCanada PipeLines Limited,50.39316667,-104.4093611,Natural Gas - Sweet,Gas,No,2010,2010/12/08 05:00:00 PM Mountain,2010/12/08 05:00:00 PM Mountain,"Damage or deterioration mechanism, Construction, Defective Other Joint",Defect and Deterioration,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria",Engineering and Planning,Operation,Employee / Contractor (Onsite),10/4/2011,Yes,No,Release of Substance,Natural Gas - Sweet,2.8,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Compressor",,,No,,No,No,,
Release of Substance,12/13/2010,Jellicoe,Ontario,TransCanada PipeLines Limited,49.70361,-87.41084,Natural Gas - Sweet,Gas,No,2010,2010/12/13 10:30:00 AM Mountain,2010/12/13 10:30:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),7/30/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
"Release of Substance, Adverse Environmental Effects",12/13/2010,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14630278,-120.6691694,Contaminated Water,Miscellaneous,Yes,2010,2010/12/12 01:30:00 PM Mountain,2010/12/12 02:30:00 PM Mountain,"Damage or deterioration mechanism, Other Causes, Unknown",Other Causes,"Job or system factors, Excessive wear and tear, Improper extension of service life",Maintenance,Operation,,8/24/2017,Yes,No,"Adverse Environmental Effects, Release of Substance",Contaminated Water,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,12/15/2010,Dartmouth,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,44.663897,-63.568182,Natural Gas - Sweet,Gas,No,2010,2010/12/15 04:00:00 AM Atlantic,2010/12/15 04:00:00 AM Atlantic,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),9/18/2014,Yes,No,Release of Substance,Natural Gas - Sweet,1,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Metering, Delivering, Valve",,,No,,No,No,,
Fire,12/17/2010,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,52.65486,-111.26462,Not Applicable,Not Applicable,No,2010,,2010/12/16 01:00:00 PM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction;Substandard Conditions, Defective tools, equipment or materials;Damage or deterioration mechanism, Electrical Power System Failure, Arc Flash;Damage or deterioration mechanism, Electrical Power System Failure, Electrical Fault","Equipment Failure, External Interference","Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria",Engineering and Planning,Operation,Employee / Contractor (Onsite),8/26/2016,No,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,12/17/2010,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,54.50731,-116.44281,Natural Gas - Sweet,Gas,No,2010,2010/12/16 04:30:00 PM Mountain,2010/12/16 04:30:00 PM Mountain,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,Operation,Employee / Contractor (Onsite),6/6/2011,Yes,No,Release of Substance,Natural Gas - Sweet,,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Metering, Delivering, Valve",,,No,,No,No,,
Release of Substance,12/22/2010,Jarvie,Alberta,NOVA Gas Transmission Ltd.,54.65256,-114.52778,Natural Gas - Sweet,Gas,No,2010,2010/12/21 04:00:00 PM Mountain,2010/12/21 04:00:00 PM Mountain,"Damage or deterioration mechanism, Equipment",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),9/5/2014,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Pipeline, Valve, Pressure relief, Other (please explain)",,,No,,No,No,,
Serious Injury (CER or TSB),12/30/2010,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14652,-120.66907,Not Applicable,Not Applicable,Yes,2010,2010/12/29 05:00:00 PM Mountain,2010/12/29 05:00:00 PM Mountain,,To be determined,,To be determined,Maintenance,,1/22/2018,No,No,Serious Injury (CER or TSB),,,,No,,,,,,1,Canada,No,No,No,No,Level I,,,,No,,No,No,,
Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,53.547403,-113.355714,Not Applicable,Not Applicable,No,2010,2009/09/09 12:00:00 AM Mountain,2010/11/11 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,Operation,Employee / Contractor (Onsite),4/13/2015,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Level I,,,,No,,No,No,,
Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,53.547403,-113.355714,Not Applicable,Not Applicable,No,2010,2010/01/20 12:00:00 AM Mountain,2010/11/11 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,Operation,Employee / Contractor (Onsite),4/13/2015,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Level I,,,,No,,No,No,,
Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,53.547403,-113.355714,Not Applicable,Not Applicable,No,2010,2010/03/06 12:00:00 AM Mountain,2010/11/11 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,Operation,Employee / Contractor (Onsite),4/13/2015,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Level I,,,,No,,No,No,,
Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,53.547403,-113.355714,Not Applicable,Not Applicable,No,2010,2010/03/09 12:00:00 AM Mountain,2010/11/11 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,Operation,Employee / Contractor (Onsite),4/13/2015,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Level I,,,,No,,No,No,,
Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,53.547403,-113.355714,Not Applicable,Not Applicable,No,2010,2010/03/11 12:00:00 AM Mountain,2010/11/11 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,Operation,Employee / Contractor (Onsite),4/13/2015,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Level I,,,,No,,No,No,,
Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,53.547403,-113.355714,Not Applicable,Not Applicable,No,2010,2010/05/06 12:00:00 AM Mountain,2010/11/11 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,Operation,Employee / Contractor (Onsite),4/13/2015,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Level I,,,,No,,No,No,,
Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,53.547403,-113.355714,Not Applicable,Not Applicable,No,2010,2010/06/03 12:00:00 AM Mountain,2010/11/11 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,Operation,Employee / Contractor (Onsite),4/13/2015,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Level I,,,,No,,No,No,,
Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,53.547403,-113.355714,Not Applicable,Not Applicable,No,2010,2010/06/21 12:00:00 AM Mountain,2010/11/11 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,Operation,Employee / Contractor (Onsite),4/13/2015,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Level I,,,,No,,No,No,,
Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,53.547403,-113.355714,Not Applicable,Not Applicable,No,2010,2010/06/29 12:00:00 AM Mountain,2010/11/11 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,Operation,Employee / Contractor (Onsite),4/13/2015,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Level I,,,,No,,No,No,,
Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,53.547403,-113.355714,Not Applicable,Not Applicable,No,2010,2010/09/07 12:00:00 AM Mountain,2010/11/11 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,Operation,Employee / Contractor (Onsite),4/13/2015,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Level I,,,,No,,No,No,,
Operation Beyond Design Limits,11/11/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,53.547403,-113.355714,Not Applicable,Not Applicable,No,2010,2010/09/20 12:00:00 AM Mountain,2010/11/11 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,Operation,Employee / Contractor (Onsite),4/13/2015,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,No,No,Yes,No,Level I,,,,No,,No,No,,
Fire,1/9/2011,Grande Prairie,Alberta,Alliance Pipeline Ltd.,54.5224,-118.10037,Not Applicable,Not Applicable,No,2011,2011/01/08 09:00:00 PM Mountain,2011/01/08 09:00:00 PM Mountain,"Substandard Acts, Failing to use PPE properly;Substandard Conditions, Inadequate guards or barriers;Substandard Conditions, Fire and explosion hazards;Substandard Conditions, Inadequate ventilation","External Interference, Incorrect Operation","Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Maintenance, Standards and Procedures",Operation,Employee / Contractor (Onsite),3/20/2014,Yes,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,1/13/2011,Marten River,Ontario,TransCanada PipeLines Limited,46.84822454,-79.8090245,Natural Gas - Sweet,Gas,No,2011,2011/01/12 02:00:00 PM Mountain,2011/01/12 02:00:00 PM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Excessive wear and tear, Improper extension of service life",Maintenance,Operation,Employee / Contractor (Onsite),6/30/2011,Yes,No,Release of Substance,Natural Gas - Sweet,192,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Pipe",,,No,,No,No,,
Release of Substance,1/20/2011,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14641,-120.66907,Propane,Gas,No,2011,,2011/01/20 12:00:00 AM Mountain,"Damage or deterioration mechanism, Cracking, Fatigue;Substandard Conditions, Weather Related, Frozen components;Damage or deterioration mechanism, Other Causes, Control System Malfunction;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Corrosion and Cracking, Equipment Failure, External Interference","Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Inadequate maintenance;Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly;External Interference, Natural or Environmental Forces","Maintenance, Natural or Environmental Forces, Tools and Equipment",Operation,,9/25/2013,Yes,No,Release of Substance,Propane,4.2,No,Yes,,,,,,,Canada,No,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,1/21/2011,Bowmanville,Ontario,TransCanada PipeLines Limited,43.96,-78.81941,Natural Gas - Sweet,Gas,No,2011,,2011/01/18 08:30:00 AM Eastern,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),6/30/2011,Yes,No,Release of Substance,Natural Gas - Sweet,1000,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,1/31/2011,Slave Lake,Alberta,NOVA Gas Transmission Ltd.,55.57555,-113.87749,Natural Gas - Sweet,Gas,No,2011,2011/01/31 09:00:00 AM Mountain,2011/01/31 09:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,Operation,Employee / Contractor (Onsite),3/30/2011,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Metering, Delivering, Valve",Removal,,No,,No,No,,Repair
Operation Beyond Design Limits,1/31/2011,Toronto,Ontario,Trans-Northern Pipelines Inc.,43.69257,-79.61074,Not Applicable,Not Applicable,No,2011,2011/01/29 04:02:00 AM Eastern,2011/01/29 04:02:00 AM Eastern,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures",Engineering and Planning,Operation,Employee / Contractor (Onsite),2/4/2013,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,Yes,No,No,No,Level I,"Pipeline, Valve, Ball, Other (please explain)",,,No,,No,No,,
Release of Substance,2/2/2011,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14642,-120.66907,Propane,Gas,No,2011,2011/02/01 05:00:00 PM Mountain,2011/02/01 07:00:00 PM Mountain,"Substandard Acts, Failure to follow procedure or policy or practice",Incorrect Operation,"Personal factors, Lack of skill, Infrequent performance",Human Factors,Maintenance,,8/16/2012,Yes,No,Release of Substance,Propane,37,No,No,,,,,,,Canada,No,No,No,No,Level I,"Station/Facility, Pumping, Pump",Removal,9/1/2011,No,,No,No,9/1/2011,Repair
Fire,2/2/2011,Neutral Hills,Alberta,TransCanada Keystone Pipeline GP Ltd.,52.29321,-111.09081,Not Applicable,Not Applicable,No,2011,2011/01/28 12:00:00 AM Mountain,2011/01/28 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Operation,Employee / Contractor (Onsite),4/18/2012,Yes,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,2/3/2011,Monchy,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,49.017155,-107.831853,Natural Gas - Sweet,Gas,No,2011,2011/02/01 08:00:00 PM Mountain,2011/02/01 08:00:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),7/27/2012,Yes,No,Release of Substance,Natural Gas - Sweet,2,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,2/4/2011,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,45.88657778,-66.5511694,Natural Gas - Sweet,Gas,No,2011,,2011/01/28 09:00:00 AM Atlantic,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),2/20/2014,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,No,No,Yes,No,Level I,"Station/Facility, Metering, Delivering, Fitting",,,No,,No,No,,
Release of Substance,2/7/2011,Moncton,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,46.11307222,-64.7157694,Natural Gas - Sweet,Gas,No,2011,2011/02/01 05:30:00 PM Atlantic,2011/02/01 05:30:00 PM Atlantic,"Damage or deterioration mechanism, Other Causes, Unknown",Other Causes,"Job or system factors, Excessive wear and tear, Improper extension of service life",Maintenance,Operation,Employee / Contractor (Onsite),2/20/2014,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Fire,2/8/2011,Neutral Hills,Alberta,TransCanada Keystone Pipeline GP Ltd.,52.29334,-111.09092,Not Applicable,Not Applicable,No,2011,2011/02/04 12:00:00 AM Mountain,2011/02/04 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Maintenance, Standards and Procedures",Operation,Employee / Contractor (Onsite),4/18/2012,Yes,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,2/14/2011,North Bay,Ontario,TransCanada PipeLines Limited,46.37977,-79.46897,Natural Gas - Sweet,Gas,No,2011,2011/02/11 06:00:00 AM Eastern,2011/02/11 06:00:00 AM Eastern,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules",Standards and Procedures,Operation,Employee / Contractor (Onsite),10/10/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Metering, Receiving, Fitting",Removal,2/11/2011,No,,No,No,2/11/2011,Repair
Release of Substance,2/18/2011,Lincoln,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,45.887,-66.551169,Natural Gas - Sweet,Gas,No,2011,2011/02/18 01:25:00 PM Atlantic,2011/02/18 01:55:00 PM Atlantic,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),2/20/2014,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Metering, Delivering, Valve",,,No,,No,No,,
"Fire, Release of Substance",2/20/2011,Beardmore,Ontario,TransCanada PipeLines Limited,49.58894444,-87.9718889,Natural Gas - Sweet,Gas,Yes,2011,2011/02/19 11:30:00 PM Eastern,2011/02/19 11:30:00 PM Eastern,"Damage or deterioration mechanism, Cracking, Corrosion Fatigue",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,Operation,Employee / Contractor (Onsite),5/2/2017,Yes,Yes,"Fire, Release of Substance",Natural Gas - Sweet,2790000,Yes,No,,Under Investigation or Unknown,,,,,Canada,No,No,Yes,Yes,Level III,,,,No,,No,No,,
Release of Substance,2/20/2011,Rainbow Lake,Alberta,NOVA Gas Transmission Ltd.,58.44721,-119.22429,Natural Gas - Sweet,Gas,No,2011,2011/02/20 01:00:00 PM Mountain,2011/02/20 01:00:00 PM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria",Engineering and Planning,Operation,Employee / Contractor (Onsite),8/22/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,Replacement,,No,,No,No,,Replacement
